circuit_name,mirror_fidelity,fidelity_estimate,total_runtime,simulation_time,preprocessing_time,shot_time,expectation_value_time,other_time,final_state_memory
mvsp_ricker2d_chebyshev_d10_n10,0.6429178460815199,0.6621845776098229,3914.964022397995,3900.913458585739,0.0,14.05056381225586,0.5047690868377686,0.0,0.954132080078125
mvsp_ricker2d_chebyshev_d10_n25,,,,,,,,,
mvsp_ricker2d_chebyshev_d10_n40,,,,,,,,,
mvsp_ricker2d_chebyshev_d5_n10,0.7941201839708578,0.7184639992416696,1084.5909070968628,1072.1266639232635,0.0,12.464243173599243,0.4806950092315674,0.0,1.439971923828125
mvsp_ricker2d_chebyshev_d5_n25,0.6692960641560927,0.6541011913518382,7039.242312669754,7015.551610469818,0.0,23.690702199935913,0.875053882598877,0.0,1.30560302734375
mvsp_ricker2d_chebyshev_d5_n40,,,,,,,,,
mvsp_ricker2d_fourier_d10_n10,0.946972060370554,0.940770055737098,70.80769610404968,59.08513331413269,0.0,11.722562789916992,0.39456748962402344,0.0,0.034637451171875
mvsp_ricker2d_fourier_d10_n25,0.9467175572798637,0.9417038636028903,138.2322325706482,114.78043055534363,0.0,23.451802015304565,0.710395336151123,0.0,0.0484619140625
mvsp_ricker2d_fourier_d10_n40,0.9579061747239892,0.9501243563606107,227.38520860671997,192.26578211784363,0.0,35.11942648887634,1.0914876461029053,0.0,0.065216064453125
mvsp_ricker2d_fourier_d5_n10,0.8728695398844725,0.8035354019294079,37.988486766815186,27.380764722824097,0.0,10.607722043991089,0.3772470951080322,0.0,0.008758544921875
mvsp_ricker2d_fourier_d5_n25,0.8752328019165463,0.805206613021698,90.22886157035828,67.650545835495,0.0,22.57831573486328,0.7606961727142334,0.0,0.013092041015625
mvsp_ricker2d_fourier_d5_n40,0.8709814089254356,0.811706628762266,154.91765666007996,120.37245583534241,0.0,34.54520082473755,1.1105341911315918,0.0,0.017669677734375
t_injections_balanced,,,,,,,,,
t_injections_colour,,,,,,,,,
t_injections_high_distance,,,,,,,,,
t_injections_high_rate,,,,,,,,,
t_injections_steane,,,,,,,,,
uccsd_sto3g_C3H6,,,,,,,,,
uccsd_sto3g_C4H8,,,,,,,,,
uccsd_sto3g_CO2,,,,,,,,,
uccsd_sto3g_H2SO4,,,,,,,,,
uccsd_sto3g_HNO3,,,,,,,,,
uccsd_sto3g_N2O,,,,,,,,,
uccsd_sto3g_NF3,,,,,,,,,
uccsd_sto3g_NHCl2,,,,,,,,,
uccsd_sto3g_Na2S,,,,,,,,,
uccsd_sto3g_NaCl,,,,,,,,,
uccsd_sto3g_NaOH,,,,,,,,,
uccsd_sto3g_SO2,,,,,,,,,
uccsd_sto3g_SiF4,,,,,,,,,
uccsd_sto3g_SiO2,,,,,,,,,
